2026-03-06 12:23:20 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "POST /fapi/v1/order/algo?symbol=BTCUSDT&side=BUY&type=STOP&quantity=0.002&price=90000&stopPrice=91000&timeInForce=GTC&timestamp=1772779995362&recvWindow=5000&signature=e6a2b3c0c87ceb64c840977bb5348be1c64f3b57262741ad1ae31c78217f6640 HTTP/1.1" 404 None
2026-03-06 12:23:20 | DEBUG    | bot.client | ← POST https://testnet.binancefuture.com/fapi/v1/order/algo | status=404 | body={"code":-5000,"msg":"Path /fapi/v1/order/algo, Method POST is invalid"}
2026-03-06 12:23:20 | ERROR    | bot.client | HTTP error: Binance API error -5000: Path /fapi/v1/order/algo, Method POST is invalid
2026-03-06 12:23:20 | ERROR    | __main__ | Order placement failed: Binance API error -5000: Path /fapi/v1/order/algo, Method POST is invalid
2026-03-06 12:23:34 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:23:35 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-03-06 12:23:35 | DEBUG    | bot.client | Server time sync: offset=-5390ms
2026-03-06 12:23:35 | INFO     | bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com, time_offset=-5390ms)
2026-03-06 12:23:35 | DEBUG    | bot.client | → GET https://testnet.binancefuture.com/fapi/v1/exchangeInfo | params={}
2026-03-06 12:23:35 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/exchangeInfo HTTP/1.1" 200 None
2026-03-06 12:23:35 | DEBUG    | bot.client | ← GET https://testnet.binancefuture.com/fapi/v1/exchangeInfo | status=200 | body={"timezone":"UTC","serverTime":1772685584858,"futuresType":"U_MARGINED","rateLimits":[{"rateLimitType":"REQUEST_WEIGHT","interval":"MINUTE","intervalNum":1,"limit":6000},{"rateLimitType":"ORDERS","interval":"MINUTE","intervalNum":1,"limit":1200},{"rateLimitType":"ORDERS","interval":"SECOND","intervalNum":10,"limit":300}],"exchangeFilters":[],"assets":[{"asset":"USDT","marginAvailable":true,"autoAssetExchange":"-100"},{"asset":"BTC","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asse
